År;Månad;Företag;M;L (FP);C;KD;S;V;MP;SD;Övriga;M FP C KD (1);S V MP (2);(1) - (2);Osäkra;Publicerad;Intervjperiod;Intervjuer (Bas);FI;PP;Intervjuer (Totalt);
2018;Februari;Novus;23,7;4,6;8,8;2,7;28,4;8,1;4,3;17,1;2,3;39,8;40,8;-1;7,6;22 feb;22 jan - 18 feb;5 002;;;;
2018;Februari;YouGov;20,5;4,7;9,3;2,6;22,4;10;3,4;22,1;4,9;37,1;35,8;1,3;17;21 feb;16 - 19 feb;1 521;2,5;;;
2018;Februari;Sentio;21;4,4;10,8;2,2;24,6;9;3,3;21,9;2,8;38,4;36,9;1,5;31,0;20 feb;9 - 14 feb;1 002;1,8;0,2;;
2018;Februari;Sifo;23,8;5;10,5;2,8;27,3;7,2;4,6;16,2;2,8;42,1;39,1;3;14,4;16 feb;5 - 15 feb;2 191;1,4;;9878;
2018;Februari;Skop;25;5,1;10,7;3,5;26,9;7,7;3,1;15,5;2,7;44,3;37,7;6,6;5;12 feb;11 jan - 2 feb;1 351;2;;;
2018;Februari;Demoskop;23,9;4,9;9,3;3,5;27,3;7,2;5,1;15,4;3,4;41,7;39,6;2,1;9,8;8 feb;30 jan - 6 feb;1 009;2,1;;1619;
2018;Februari;Aftonbladet;24,6;4;9,3;4,1;28,5;6,8;3,2;15,6;4,1;42;38,5;3,5;6,7;7 feb;30 jan - 5 feb;2 133;2,1;;;
2018;Januari;Ipsos;25;5;9;3;28;7;4;16;3;42;39;3;17;25 jan;11 - 22 jan;609;2;;1640;
2018;Januari;Novus;23,8;5;8,9;2,7;28,6;7,6;4,1;16,5;2,8;40,4;40,3;0,1;6,2;25 jan;2 - 21 jan;4 006;;;;
2018;Januari;Sentio;19,9;3,6;8,6;2,9;27;7,1;3,8;22,2;4,9;35;37,9;-2,9;29,4;20 jan;12 - 16 jan;1 191;2,7;0,9;;
2018;Januari;Sifo;24,4;5,1;8,8;2,9;27,8;7,7;4,1;16,2;3,2;41,2;39,6;1,6;11,3;19 jan;8 - 18 jan;2 196;2,1;;9876;
2018;Januari;Yougov;20,9;3,8;9,1;2,5;26,2;7,8;4,5;20,5;4,7;36,3;38,5;-2,2;23,0;18 jan;12 - 15 jan;1 526;2,1;;;
2018;Januari;Demoskop;22,6;4,5;9,2;2,9;27,8;7,2;4,4;17,9;3,5;39,2;39,4;-0,2;11,8;12 jan;2-9 jan;1 000;1,9;;1600;
2018;Januari;Aftonbladet;23,7;3,4;9,9;4;28,3;7,4;3,6;16;3,6;41;39,3;1,7;6,5;10 jan;3 - 8 jan;2 268;1,3;;;
2017;December;Novus;21,3;5,4;9,8;3,3;29,5;7,5;4,3;16,8;2,1;39,8;41,3;-1,5;6,6;29 dec;27 nov - 21 dec;4 008;;;4008;
2017;December;Ipsos;23;5;10;3;28;7;4;16;4;41;39;2;13;21 dec;6 - 14 dec;1 018;2;;2029;
2017;December;Yougov;22,7;4,9;7,9;3,3;25,5;7;3,9;20,5;4,3;38,8;36,4;2,4;15;20 dec;15 - 18 dec;1 520;2,1;;;
2017;December;Sifo;22;5;10,2;2,7;29,3;7,4;4,1;16,5;2,8;39,9;40,8;-0,9;12,1;15 dec;4 - 14 dec;2 194;1,9;;10516;
2017;December;Aftonbladet;23,7;3,9;10,1;4,8;27,5;6,8;3,1;15,9;4,3;42,5;37,4;5,1;7,5;14 dec;6 - 12 dec;2 143;1,7;;;
2017;December;Sentio;20,2;4,6;10;3;23;8;3,9;23;4,3;37,8;34,9;2,9;27,4;11 dec;1 - 6 dec;1 208;1,6;1,4;;
2017;December;Demoskop;20,9;5,8;9,1;3;27,1;8,5;3,9;18,3;3,4;38,8;39,5;-0,7;10,8;7 dec;28 nov - 5 dec;1 000;2,2;;1608;
2017;December;SCB;22,2;4,2;9,5;3,1;32,6;7;3,8;14,8;2,6;39;43,4;-4,4;18;5 dec;27 okt - 28 nov;4 714;;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;November;Novus;19,9;5,5;11;3,6;28,6;7,3;5;16,6;2,5;40;40,9;-0,9;7,9;30 nov;30 okt - 26 nov;4 014;;;4014;
2017;November;Sentio;18,2;4,2;9,1;3,3;26,6;7,7;4,8;21,7;4,4;34,8;39,1;-4,3;26,8;24 nov;16 - 21 nov;1 174;1,9;0,9;;
2017;November;Yougov;20,2;4,5;10,3;2,8;25,2;7,6;4,6;20,7;3,9;37,8;37,4;0,4;18;23 nov;17 - 20 nov;1 524;1,3;;;
2017;November;Ipsos;21;5;11;3;28;8;5;16;3;40;41;-1;17;22 nov;9 - 19 nov;600;2;;1614;
2017;November;Aftonbladet;23,2;3,3;10,1;4;28,6;6,8;4;15,4;4,7;40,6;39,4;1,2;8,3;16 nov;8 - 13 nov;2 265;;;;
2017;November;Sifo;22,4;5,4;10,3;3,1;29,8;6,9;4,2;14,7;3,2;41,2;40,9;0,3;15,3;11 nov;30 okt - 9 nov;2 194;2,1;;10672;
2017;November;Demoskop;21,9;4,9;9,1;2,8;28,2;7,5;4,4;18,1;3,1;38,7;40,1;-1,4;10,7;3 nov;25 okt - 1 nov;1 004;2,2;;1625;
2017;November;Skop;22,2;4,8;11,9;3,4;28,3;7,4;3,5;16;2,7;42,3;39,2;3,1;7;3 nov;10 - 31 okt;1 197;1,7;;1197;
2017;November;Novus;20,6;4,8;10,8;3,8;29,8;7,6;4;16,2;2,4;40;41,4;-1,4;7;2 nov;2 - 29 okt;4 005;;;4 005;
;;;;;;;;;;;;;;;;;;;;;;
2017;Oktober;Yougov;19,9;5,4;9;3;25,2;7,7;3,2;21,9;4,7;37,3;36,1;1,2;15;25 okt;20 - 23 okt;1 511;2,1;;;
2017;Oktober;Ipsos;22;6;10;3;30;7;4;15;3;41;41;0;13;25 okt;12 - 22 okt;604;2;;1609;
2017;Oktober;Sifo;18,6;6,1;12,3;2,9;30,5;8,3;3,8;15;2,5;39,9;42,6;-2,7;12;12 okt;2 - 12 okt;2197;1,1;;11 228;
2017;Oktober;Sentio;16,8;5,5;9,6;2,3;25,9;8,8;4;22,8;4,3;34,2;38,7;-4,5;23,8;12 okt;5 - 9 okt;1 050;1,9;1,1;;
2017;Oktober;Aftonbladet;18,7;3,7;11,5;4,4;30,1;6,6;3,2;17,9;4,1;38,3;39,9;-1,6;9,2;12 okt;3 - 9 okt;5 794;1,7;;;
2017;Oktober;Novus;16,2;6,4;12,5;3,5;29,4;7,9;4,3;17,5;2,3;38,6;41,6;-3;7,8;8 okt;4 sept - 1 okt;4 003;;;;
2017;Oktober;Demoskop;17,2;4,5;12,6;3,7;32,1;7,9;4,4;15,3;2,3;38;44,4;-6,4;12;3 okt;24 sept - 1 okt;1 250;1,6;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;September;Ipsos;16;6;13;3;29;7;4;18;4;38;40;-2;17;21 sept;7 - 18 sept;1 001;3;;2043;
2017;September;Yougov;16;5,5;9,4;3,1;26,3;7,5;3,1;25,3;3,8;34;36,9;-2,9;;20 sept;14 - 18 sept;1 520;2;;;
2017;September;Sifo;17,2;5;11,9;3,7;29,7;7,4;4,5;17,8;2,7;37,8;41,6;-3,8;14;16 sept;4 - 14 sept;2191;2;;10 429;
2017;September;Sentio;17;4,7;11,5;3,1;25,3;6,9;4,1;23,4;4;36,3;36,3;0;23,1;16 sept;8 - 11 sept;1 050;2,8;0,5;;
2017;September;Aftonbladet;16,5;3,6;12,3;4,7;28,8;6,5;3,5;19,9;4,2;37,1;38,8;-1,7;9,3;9 sept;1 - 6 sept;2 066;1,5;;;
2017;September;Demoskop;17,3;5,2;11,2;2,8;30,3;8;4,6;18,1;2,5;36,5;42,9;-6,4;12,5;7 sept;29 aug - 5 sept;1 253;2;;;
2017;September;Novus;16,3;5,4;12;3,9;29,7;6,8;4,8;18,1;3;37,6;41,3;-3,7;6,8;7 sept;7 aug - 3 sept;4 001;2;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;Augusti;Ipsos;17;6;11;3;29;8;5;19;2;37;42;-5;16;22 aug;10 - 21 aug;1 000;2;;2004;
2017;Augusti;Sifo;16,2;6,2;12,4;3,6;30;6,4;4,1;18,3;3;38,4;40,5;-2,1;13,1;19 aug;7 - 17 aug;2193;1,9;;10 625;
2017;Augusti;Sentio;15,1;4,1;10,5;3,2;23,5;8,6;4,3;27,4;3,3;32,9;36,4;-3,5;25,1;17 aug;11 - 14 aug;1 000;2,4;0,3;;
2017;Augusti;Yougov;16,1;4,6;11,5;2,9;25,4;8,2;4,3;23,6;3,5;35,1;37,9;-2,8;;16 aug;11 - 15 aug;1 526;2,2;;;
2017;Augusti;Aftonbladet;16;4,1;12,9;4,8;28,7;6,8;2,6;20,1;3,9;37,8;38,1;-0,3;9,7;16 aug;7 - 14 aug;2 037;1,6;;;
2017;Augusti;Novus;15,2;5,5;12,8;4,3;29,3;7,6;3,9;18,7;2,7;37,8;40,8;-3;6,2;10 aug;31 juli - 6 aug;2 000;1,8;;;
2017;Augusti;Demoskop;17,2;6,4;12,9;4;28,4;7,4;4,4;16,6;2,7;40,5;40,2;0,3;17,2;9 aug;1 - 8 aug;1 250;1,6;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;Juli;Yougov;17,8;5,3;10,5;2,6;24,9;8;4,1;23;4;36,2;37;-0,8;;16 aug;;;2,4;;;
2017;Juli;Sentio;12,7;5,7;11,6;3,8;22,4;9,2;3,8;26,8;4;33,8;35,4;-1,6;29,5;23 juli;14 - 19 juli;1 170;1,8;1,2;;
2017;Juli;Skop;15;6,4;12,8;3;27,1;7,3;4,4;20,2;3,7;37,2;38,8;-1,6;5;10 juli;7 juni - 6 juli;1 285;3;;;
2017;Juli;Demoskop;15,7;6,7;11,9;2,6;27;8;4,9;20,1;3,1;36,9;39,9;-3;;5 juli;26 juni - 4 juli;1 251;1,8;;;
2017;Juli;Aftonbladet;16,8;4,7;12,4;4;27,1;7;3,1;21,1;3,7;37,9;37,2;0,7;8,8;1 juli;16 - 17 juni;5 059;1,4;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;Juni;Novus;15,9;5,8;12,5;3,3;27,3;8,4;4,5;20;2,3;37,5;40,2;-2,7;7,1;29 juni;5 - 25 juni;3 004;1,3;;;
2017;Juni;Ipsos;16;7;12;3;29;8;4;18;3;38;41;-3;12;22 juni;7 - 19 juni;603;2;;1633;
2017;Juni;YouGov;17,4;5,3;11,7;3,4;22,3;8;4,2;24;3,9;37,8;34,5;3,3;17;21 juni;16 - 20 juni;1 526;2,5;;;
2017;Juni;Sifo;15,9;6,2;13,4;2,9;29,2;7,7;4;18;2,8;38,4;40,9;-2,5;11,7;17 juni;5 - 15 juni;2195;2,1;;12 022;
2017;Juni;Aftonbladet;16,4;4,2;12,8;4,4;27,4;6,7;3,1;20,4;4,6;37,8;37,2;0,6;9;17 juni;6 - 13 juni;2 093;2,4;;;
2017;Juni;Novus;16,6;5,6;13,3;3,1;27,3;7,6;4,3;19,3;2,9;38,6;39,2;-0,6;7,5;9 juni;8 maj - 4 juni;4 002;2;;;
2017;Juni;Sentio;15,9;4,2;11,2;3,5;24,7;7,9;3,1;25;4,5;34,8;35,7;-0,9;27,3;8 juni;1 - 5 juni;1 006;2,5;1,1;;
2017;Juni;Demoskop;18,2;4,8;11;2,6;26,7;8,9;4,1;20,2;3,5;36,6;39,7;-3,1;14,1;8 juni;30 maj - 7 juni;1 251;2,6;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;Maj;SCB;18,1;5;11,3;3,2;31,1;6,3;4,5;18,4;2,2;37,6;41,9;-4,3;18;31 maj;28 april - 28 maj;4 808;;;;
2017;Maj;Ipsos;15;7;13;4;26;9;3;19;4;39;38;1;13;24 maj;9 - 22 maj;1 612;3;;;
2017;Maj;Aftonbladet;16,8;4,7;13,6;4,2;25,7;7,2;3;20,8;4;39,3;35,9;3,4;9,9;19 maj;10 - 17 maj;2 200;1,7;;;
2017;Maj;YouGov;16;5,4;12,8;2,9;25,3;8,1;2,1;23,6;3,9;37,1;35,5;1,6;17;17 maj;11 - 14 maj;1 525;2,6;;;
2017;Maj;Sifo;17,5;5,7;12,6;2,7;29,5;7,8;3,7;16,6;3,7;38,5;41;-2,5;14,2;14 maj;2 - 11 maj;1 940;2,6;;;
2017;Maj;Novus;16,4;5,3;12,2;3,9;28,3;7,5;4,3;19,5;2,6;37,8;40,1;-2,3;8,5;11 maj;17 april - 7 maj;3 002;1,9;;;
2017;Maj;Sentio;17,9;4,8;10,6;2,5;24;8,1;4,1;23,2;4,8;35,8;36,2;-0,4;24,8;10 maj;5 - 8 maj;1 001;2,6;1,3;;
2017;Maj;Demoskop;18;5,5;12,8;3,7;27,8;6,6;4,6;17,3;3,8;40;39;1;14,6;4 maj;24 april - 3 maj;1 250;3,3;;;
2017;Maj;Aftonbladet;16,8;5;13,3;4,7;26,5;6,9;2,9;20,7;3,2;39,8;36,3;3,5;9,3;3 maj;24 april - 1 maj;2 200;1;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;April;Sifo (extra);18,1;5,5;13;2,6;29,2;7,8;5;16,5;2,3;39,2;42;-2,8;;28 april;18 - 27 april;1 947;;;;
2017;April;Ipsos;17;6;12;4;29;8;3;18;3;39;40;-1;15;21 april;3 - 19 april;1 621;2;;;
2017;April;Aftonbladet;16,8;4,4;12,5;4,6;28,3;6,7;2,5;21,2;3;38,3;37,5;0,8;10,9;20 april;10 -17 april;2 065;0,9;;;
2017;April;Yougov;15,6;5,5;12,8;3,6;24,1;6,3;2,7;25,6;3,8;37,5;33,1;4,4;16;19 april;12 - 18 april;1 524;2,5;;;
2017;April;Novus;16,4;5,2;12,6;3,4;28,2;7,4;4,2;19;3,6;37,6;39,8;-2,2;9,3;19 april;20 mars - 16 april;4 008;2,5;;;
2017;April;Sifo;17,5;5,4;13,8;2,9;29,9;8,2;3,2;16,7;2,4;39,6;41,3;-1,7;14,7;15 april;3 - 12 april;1 943;1,8;;;
2017;April;Sentio;15,8;4,8;8,7;3,7;23,3;7,2;4,8;27,2;4,5;33;35,3;-2,3;23,7;10 april;7 - 10 april;1 001;2,2;1;;
2017;April;Demoskop;17,8;6;13,5;2,8;26,2;7,4;5,7;17,8;2,8;40,1;39,3;0,8;13,9;6 april;28 mars - 5 april;1 250;1,8;1,8;;
;;;;;;;;;;;;;;;;;;;;;;
2017;Mars;Novus;18;5,9;12,2;3,2;26,7;7,1;4,6;19,2;3,1;39,3;38,4;0,9;9;23 mars;20 feb - 19 mars;4 002;2;;;
2017;Mars;Yougov;15,4;6,5;12,5;3;22;8,7;3,5;23,9;4,5;37,4;34,2;3,2;18;22 mars;17 - 20 mars;1 503;3,4;;;
2017;Mars;Ipsos;17;7;13;3;27;8;5;18;3;40;40;0;15;22 mars;9 - 19 mars;1 618;2;;;
2017;Mars;Sifo;18,4;5,7;14,2;2,8;28,7;7,1;4,5;16,7;1,9;41,1;40,3;0,8;12,6;18 mars;6 - 16 mars;1 944;1,3;;;
2017;Mars;Sentio;15,2;3,9;11;2,4;24,1;8,9;3,4;26;5,1;32,5;36,4;-3,9;26,3;17 mars;9 - 13 mars;1 000;3;1,2;;
2017;Mars;Aftonbladet;17,6;4,7;12,1;4;25,7;7,1;3,1;22,2;3,5;38,4;35,9;2,5;8,1;16 mars;8 - 14 mars;2 304;1,6;;;
2017;Mars;Demoskop;16,6;5,1;12,1;3;27,8;7,9;5,7;18,2;3,6;36,8;41,4;-4,6;15,7;9 mars;28 feb - 7 mars;1 252;2;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;Februari;Novus;19,1;5,3;11,5;3,1;27,1;7,8;4,5;18,5;3,1;39;39,4;-0,4;7,8;23 feb;23 jan - 19 feb;4 005;2,3;;;
2017;Februari;Sentio;16,7;4,6;10,7;3;23,2;8,2;3,6;26,9;3,1;35;35;0;28,4;23 feb;16 - 20 feb;1 000;1,7;0,7;;
2017;Februari;Yougov;17;4,2;11,8;3,6;23,5;8,1;3,9;23,9;3,9;36,6;35,5;1,1;19,0;22 feb;17 - 20 feb;1 521;2,5;;;
2017;Februari;Ipsos;20;6;12;3;27;7;4;17;2,8;41;38;3;14;22 feb;8 - 20 feb;1 639;2;;;
2017;Februari;Sifo (extra);20,4;5,6;11,8;3,6;27,5;6,9;4,9;16,8;2,7;41,4;39,3;2,1;14,3;18 feb;6 - 16 feb;1 943;1,9;;;
2017;Februari;Aftonbladet;19,8;5,4;10,9;4,2;25;7,3;3,7;21,5;2,3;40,3;36;4,3;8,8;16 feb;5 - 14 feb;2 385;1,2;;;
2017;Februari;Demoskop;18,5;5,8;11,1;3,6;26,9;9;4,7;17,5;2,9;39;40,6;-1,6;18,3;9 feb;31 jan - 8 feb;1 254;2,1;;;
2017;Februari;Sifo;19,8;5,9;11,6;3,9;27,3;7,4;4,6;16,5;3,1;41,2;39,3;1,9;14,7;9 feb;23 jan - 7 feb;2 420;2,2;;;
;;;;;;;;;;;;;;;;;;;;;;
2017;Januari;Skop;21,3;5,8;10,7;3;28,5;7,3;5,2;15,4;2,9;40,8;41;-0,2;12;10 juli 2017;Dec 2016-Jan 2017;1 004;1,6;;;
2017;Januari;Ipsos;23;7;9;3;25;8;5;17;4;42;38;4;13;31 jan;12 - 22 jan;1 652;2;;;
2017;Januari;Novus;22,4;5,4;9,3;3,3;26,9;7,7;4,4;17,7;2,9;40,4;39;1,4;7,8;26 jan;2 - 22 jan;3 002;2;;;
2017;Januari;Sentio;18,4;5,5;8,9;3,9;21,8;9,1;5,4;22,3;4,7;36,7;36,3;0,4;26,2;23 jan;12 - 18 jan;1 029;3;1;;
2017;Januari;Sifo;21,9;5,3;9,3;2,6;29,7;8;4,3;16;2,9;39,1;42;-2,9;14,7;21 jan;9 - 19 jan;1 944;2,1;;;
2017;Januari;Yougov;21,4;4,5;8,9;2,8;21,5;8,1;3,9;24,7;4,2;37,6;33,5;4,1;17;19 jan;12 - 16 jan;1 529;2,6;;;
2017;Januari;Aftonbladet;21,3;4,7;9,7;3,7;25,8;6,9;4,3;21,5;2,0;39,4;37;2,4;8,6;19 jan;9 - 17 jan;2 048;1;;;
2017;Januari;Demoskop;24,3;4,7;9,4;2,6;26,7;8,1;4,7;16,2;3,3;41;39,5;1,5;13,8;12 jan;3 - 10 jan;1 251;2,1;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;December;Novus;21,8;5,4;9,3;3;27,3;7,4;4,9;17,9;3;39,5;39,6;-0,1;6,9;22 dec;21 nov - 18 dec;4 005;2;;;
2016;December;Sifo;22,2;6;9,1;3,6;27,6;8,4;5,2;15,2;2,6;40,9;41,2;-0,3;13,4;17 dec;5 - 15 dec;1 925;1,6;;;
2016;December;Ipsos;22;7;9;3;26;7;5;17;4;41;38;3;14;16 dec;1 - 12 dec;1 723;2;;;
2016;December;Sentio;18,4;6,4;8,1;3,7;23,8;9,2;3,6;22,6;4,2;36,6;36,6;0;23,5;16 dec;8 - 14 dec;1 039;2;1,5;;
2016;December;Aftonbladet;21,6;5,3;8,8;4;26,2;7,7;3,5;20,6;2,2;39,7;37,4;2,3;7;16 dec;5 - 14 dec;2 287;1,3;;;
2016;December;Demoskop;22,3;4,8;9,2;3,2;25,8;7,5;5,2;18,5;3,5;39,4;38,5;0,9;;8 dec;29 nov - 6 dec;1 252;2;;;
2016;December;SCB;22,8;5;7,1;3,1;29,2;7,7;4,5;17,5;3,2;38;41,4;-3,4;;1 dec;20 okt - 27 nov;5 021;;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;November;Ipsos;23;6;8;3;27;7;4;17;5;40;38;2;14;24 nov;10 - 21 nov;2 076;3;;;
2016;November;Novus;23,1;5,6;8;3;26,6;7,5;5,1;17,8;3,3;39,7;39,2;0,5;7,4;24 nov;24 okt - 20 nov;4 003;2,4;;;
2016;November;Sentio;20,5;4,8;8,1;3,4;20,8;9,1;3;25;5,3;36,8;32,9;3,9;22,7;22 nov;17 - 22 nov;1 000;3,4;1,4;;
2016;November;Sifo;23,1;6,5;8,7;3,5;27,5;7,5;4,4;15,8;2,9;41,8;39,4;2,4;12,7;19 nov;7 - 17 nov;1 936;2,1;;;
2016;November;Yougov;22,3;5,9;7,7;2,3;21,8;8;3,3;24,8;3,9;38,2;33,1;5,1;16,0;16 nov;11 - 14 nov;1 514;2,5;;;
2016;November;Aftonbladet;22;4,1;8,6;3,5;25,6;8;4,2;21,5;2,5;38,2;37,8;0,4;8,0;16 nov;7 - 15 nov;2 051;1,8;;;
2016;November;Demoskop;23,6;4,8;7,8;2,5;27,8;8,4;4,6;17,6;2,9;38,7;40,8;-2,1;;3 nov;25 okt - 2 nov;1 251;2;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;Oktober;Ipsos;24;7;7;2;25;8;5;19;4;40;38;2;13;29 okt;13 - 24 okt;1 706;2;;;
2016;Oktober;Sentio;19,5;5,9;8,7;4,1;23,5;9,7;2,4;21,7;4,5;38,2;35,6;2,6;23,8;28 okt;20 - 26 okt;1 040;2,4;1,9;;
2016;Oktober;Novus;22,9;5,7;8,3;2,9;26,2;7,5;4,5;18,7;3,3;39,8;38,2;1,6;8,7;27 okt;26 sept - 23 okt;4 004;2,2;;;
2016;Oktober;Aftonbladet;23,4;4,9;8,1;3,9;24,5;7,5;4,2;20;3,6;40,3;36,2;4,1;9,1;21 okt;13 - 19 okt;2 359;2;;;
2016;Oktober;YouGov;22,4;5,1;6,4;4,9;22,2;7,7;3,2;24,3;3,8;38,8;33,1;5,7;;19 okt;14 - 18 okt;1 519;2,5;;;
2016;Oktober;Sifo;25;5,4;8,3;2,8;25,9;8,2;4,7;16,8;3;41,5;38,8;2,7;12,8;17 okt;3 - 13 okt;1 936;2,1;;;
2016;Oktober;Demoskop;22,7;5;8,1;3,7;28,7;6,4;4,1;16,9;4,4;39,5;39,2;0,3;;9 okt;27 sept - 5 okt;1 253;2,6;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;September;Novus;24,6;4,7;7,5;3,3;26,8;7,6;4,9;17,7;2,9;40,1;39,3;0,8;6,4;29 sept;29 aug - 25 sept;4 003;2,1;;;
2016;September;Aftonbladet;24,2;4,3;8,6;3,9;25,2;8,2;3,7;18,9;3,1;41;37,1;3,9;7,9;23 sept;12 - 22 sept;2 308;1,9;;;
2016;September;YouGov;23;4,9;6,2;2,9;23,2;7,1;3,9;25,2;3,7;37;34,2;2,8;;21 sept;16 - 19 sept;1 523;2,6;;;
2016;September;Ipsos;24;6;7;4;26;7;4;19;3;41;37;4;13;21 sept;9 - 19 sept;1 727;2;;;
2016;September;Sentio;21;4,9;6,8;2,8;21,5;8,6;4,8;24,5;5,1;35,5;34,9;0,6;24,5;19 sept;8 - 13 sept;1 020;2,8;1;;
2016;September;Sifo;24,8;5,2;8,4;3;28;7,6;4,2;15,6;3,2;41,4;39,8;1,6;12,1;17 sept;5 - 15 sept;1 935;2,1;;;
2016;September;Demoskop;23,9;4,3;7,1;3;27;8,6;4,8;17,9;3,4;38,3;40,4;-2,1;;9 sept;30 aug - 7 sept;1 256;2,2;;;
2016;September;Novus;25,3;5,1;7,6;3,2;26,4;7,7;4,4;17,2;3,1;41,2;38,5;2,7;6,6;1 sept;1 - 28 aug;4 011;2,1;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;Augusti;Ipsos;25;5;8;3;26;7;4;18;4;41;37;4;13;27 aug;14 - 22 aug;1 833;3;;;
2016;Augusti;Sentio;21,6;4,2;6,2;3,5;22,8;10,9;3,5;23,5;3,8;35,5;37,2;-1,7;28,8;24 aug;16 - 21 aug;1 019;2,6;0,9;;
2016;Augusti;Sifo;26,3;4,8;8;4;27,1;6,8;4,4;15,6;3,1;43,1;38,3;4,8;13,5;21 aug;8 - 18 aug;1 933;2,3;;;
